Skill,Count
Banking,37
Finance,32
Insurance,32
Accounting,26
Technology,18
Marketing,18
Retail,17
Law,13
Supply Chain,12
Education,9
Research,7
Sales,7
Healthcare,6
Machine Learning,5
FMCG,4
Risk Management,4
HR,4
Logistics,3
Tax,3
Inventory,3
Telecommunications,3
Product Management,3
Electronics,3
Call Center,3
Manufacturing,2
Mobile App,2
Mining,2
Recruitment,2
Project Management,2
Wholesale,2
Digital Marketing,1
Tourism,1
Compliance,1
Human Resources,1
Ecommerce,1
Architecture,1
Operations Management,1
Econometrics,1
Industrial Engineering,1
Dairy,1
