Job Title,Company,Location,Salary,Date,Job Link,Expire Date,Welfare,Job Description,Job Requirements,Job Level,Job Type,Experience,Industry,Min_Salary,Max_Salary,exp_min,exp_max
Store Manager (Retail - Aeon Mall Long Bien Hanoi),Kkv Vietnam,Hà Nội,28 Tr - 35 Tr Vnd,2025-03-19,https://careerviet.vn/vi/tim-viec-lam/store-manager-retail-aeon-mall-long-bien-hanoi.35C304EC.html,2025-04-17,"['Chế độ bảo hiểm', 'Đồng phục', 'Chế độ thưởng']","1. Sales Management: • Based on the monthly target issued by the headquarters, manage the store sales and profit indicator; • Track the performance and regularly do data analysis and improvement; • Control cost and maintain sensitive analysis of competing products. 2. Store Management: • Pay attention to the shopping environment and store safety before and after the store, and effectively manage the safety of store assets. 3. Product Management: • Responsible for inventory management such as daily inventory and product expiration date checking; • Develop a loss prevention plan to reduce store losses; • Analyze store product data to plan improvements and increase sales. 4. Display Management: • Inspect and manage the display of goods according to the display standard, supervise the implementation of store display work, and feedback on problems. 5. Training Management: • Responsible for the training and ensuring service management of store personnel, managing customer service feedback, and flexibly handling customer complaints to maintain brand image. 6. Financial Management: • Follow up and deal with the payment and tax work in the store; • Supervise the security of the payment and self-inspection of the store; • Formulate anti-theft measures to supervise the implementation of the store. 7. Personnel Management: • Responsible for the selection, use, teaching, and retention of store employees; • Ensure the staffing of the store, and the construction of the store personnel echelon in, timely training the company's standards and systems to the store staff; • Supervise the implementation of the work, timely summary, feedback, and optimization suggestions. 8. Cultural Management: • Deeply understand the company's information policy; • Promote and implement the company's corporate culture; • Build a good store culture to achieve simplicity and efficiency. 9. Recruitment and Training of new retail staff","• Bachelor’s degree is preferred; • At least 3 years of experience in store management in the retail industry, especially newly set up retail stores (from 700m2). Preferable candidate from large scale (from 15 staffs) and fast retail company; • Strong data analysis ability, able to grasp the data contacted in the process of store management, including turnover-related data, attrition rate, turnover rate, promotion ratio, etc; • Strong overall planning ability, data statistics, induction, analysis and application ability, workflow and standard formulation ability, commodity analysis and adjustment ability, visual display ability, and keen risk management awareness; • Follow company regional deployment and identify with the company's corporate culture and values. Willing to relocate or travel outstation to other stores; • Able to work on rotating retail operation hours including weekends and public holidays; • Proficient in English (4 skills), and Chinese is a priority (directly report to Chinese Manager); • Expected onboarding date: the middle of February",Quản lý,Nhân viên chính thức,3 - 6 Năm,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",28000000.0,35000000.0,3.0,6.0
Site Analysis Executive - Highlands Coffee,Highlands Coffee,Hồ Chí Minh,Cạnh Tranh,2025-03-11,https://careerviet.vn/vi/tim-viec-lam/site-analysis-executive-highlands-coffee.35C36C51.html,2025-04-04,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","Market Research & Analysis Conduct comprehensive research, gather data about markets, trade areas, sites, and investments to find out potential locations. Conduct location analysis & provide proposals to support HOD/Team to make informed decisions regarding location selection. Utilize various analytical tools and methodologies to assess and compare potential locations based on predetermined criteria. Store Performance Review Conduct NSO/ store performance analysis vs. the target on a yearly basis. Analyze financial and operational data to assess NSO performance, identify areas for improvement, and provide recommendations for optimization Data & Reporting Complete market reports & potential trade areas of assigned areas. Ensure accurate and timely reporting of site analysis results to support decision-making processes. Update Store Analog Data.","Education/ Training Qualifications Bachelor's degree in Management Information Systems/ Data Analysis/ Business Administration/ Finance or a related field. Experience From 1 to 2 years of experience in a similar role, preferably in the food & beverage/ retail industry. Knowledge: Retail Real Estate Market Research Data Analyst Finance Analyst Skills (Ability to): Logical thinking Good analytical skills Good Negotiation & Communications skills Problem Solving, Organization Good attention to detail.",Nhân viên,Nhân viên chính thức,1 - 5 Năm,"Bán lẻ / Bán sỉ , Thực phẩm & Đồ uống , Tài chính / Đầu tư",21716056.0,31750014.0,1.0,5.0
Cv/Cvc/Cvcc Lập Trình Tích Hợp Dữ Liệu (Sql/Plsql Developer),Công Ty Cổ Phần Chứng Khoán Asean,Hà Nội,Cạnh Tranh,2025-03-23,https://careerviet.vn/vi/tim-viec-lam/cv-cvc-cvcc-lap-trinh-tich-hop-du-lieu-sql-plsql-developer.35C34F82.html,2025-04-21,"['Chế độ bảo hiểm', 'Du Lịch', 'Chế độ thưởng']","Phân tích yêu cầu nghiệp vụ, thiết kế lập trình chuyển đổi dữ liệu từ các cơ sở dữ liệu giao dịch về kho hợp nhất ODS (Operational Data Store). Thiết kế, xây dựng kho dữ liệu Data Warehouse, Data mart. Xây dựng và phát triển các hệ thống lưu trữ dữ liệu lớn (Big Data), các tiến trình đồng bộ dữ liệu thời gian thực (real-time) và streaming dữ liệu (streaming processing, stream analytics) Xây dựng, phát triển các công cụ khai thác dữ liệu lớn, xử lý, chuyển đổi dữ liệu lớn và quản trị dữ liệu lớn. Tìm hiểu, phân tích, đánh giá và xử lý các nguồn dữ liệu; xây dựng các phương án kết nối dữ liệu đúng logic, nhanh và ổn định Thực hiện các tiến trình ETL/ELT vào vùng ODS, model testing để đảm bảo dữ liệu đúng ý nghĩa. Xây dựng và cập nhật các bộ tài liệu để các đội phân tích dễ dàng sử dụng DW Kiểm soát khả năng hoạt động của DWH, theo dõi và giải quyết ngay khi có sự cố phát sinh Triển khai các ứng dụng phân tích trên BI, tạo báo cáo theo yêu cầu kinh doanh của Công ty.","Tốt ngiệp Đại học trở lên các chuyên ngành Công nghệ thông tin, Hệ thống thông tin quản lý,... Có kinh nghiệm làm việc về Data Warehouse, BI, Data Lake, Big Data Có kiến thức, kinh nghiệm thực tế về hệ sinh thái Hadoop, các nền tảng NoSQL (MongoDB, Redis, Cassandra,..), các công cụ xử lý và chuyển đổi dữ liêu lớn, đặc biệt là nền tảng Cloudera và Confluent. Tư duy/khả năng lập trình tốt và có kỹ năng phân tích hệ thống. Có kiến thức, kỹ năng tốt về hệ quản trị CSDL Có kinh nghiệm sử dụng các tool Data Warehouse và BI, như: Oracle Warehouse Builder, OBIEE, ODI, Tableau, Power BI, SSIS, Informatica , … Khả năng viết câu lệnh SQL (Oracle), tuning hiệu quả. Biết lập trình Python, Java hoặc Scala là lợi thế.",Nhân viên,Nhân viên chính thức,Trên 2 Năm,"Ngân hàng , Chứng khoán , CNTT - Phần mềm",21716056.0,31750014.0,2.0,5.0
Sales Audit ＆ Traning Manager (Gt),Công Ty Cổ Phần Thương Mại Dịch Vụ Sản Xuất Hương Thủy,Hồ Chí Minh,30 Tr - 40 Tr Vnd,2025-03-16,https://careerviet.vn/vi/tim-viec-lam/sales-audit-traning-manager-gt.35C2FBDE.html,2025-04-14,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","1. Collect and analyze sales data for reporting the sales situation of every brand - Collecting and updating sales data of GT customers from the admin team every day - Analysing sales data available to give the weekly detailed plan and monthly detailed plan for reminding PIC on distribution situation based on sales data of the GT channel extracted from the system. + Store coverage of each GT customer and ask sales to visit + Visit and Collect the display of each store by picture, and advise the improvement based on the data and pictures of each store. + Deploy the display and promotion activities is the best way for GT retailers to achieve stable and enough offtake from consumers + Control the inventory of each store, and ask for updates if any 2. Find out the problems in sales operations and suggest a suitable solution to improve management - Based on the analysis to make the weekly report of problem on selling, delivering, stock, coverage at store and give the suggestion to solve problem - Based on the problem with evidence to give the action plan with a timeline, the person in charge of improving sales volume and management in accordance with the brand - Give process, form, and evaluation for managing the progress of each item and confirm the final result until each item is completed. 3. Planning Execution -In charge of training for sales department (GT) and sub-distributor an and organize training plan in quarterly, and yearly for sales team sales techinic, knowledge of product, data management, skills for ASM, SS, SR, and distributor and GT retailer. - Organize sub-distributor meeting one time /year. To create relationship with each NPP and do sharing company strategy, sales plan for each brand, - Set up and maintain an effective field coaching system for the sales team in line with business requirements. 4. Planning audit team - The audit team is seprated organization with sales team, to check whether Sales staff and NPP, W/S is following guidelines or not. Such like Customer data, Discount apply, Inventory report is correct or not, how to avoid cheating 5. Temporary assignment for Non-Food Sales team (assignment until recruit sales manager for Non-Food) -Now Huong Thuy launch new sales team which sales mainly non food product, however still sales operation is not smooth and facing many trouble. - co-work with current RSM and ASM and MKT, Supplier, find out current issue and suggest improvement idea, also handle until solve each problem. 6 . Other tasks assigned by BOD",- University with a Business Administration/ Marketing/ Economic major - At least 05 years of experience in sales and Marketing / Sales operation management for GT Channel - Sales data analyzing skill - English Communication B or over - Planning skills - Problem-solving skills,Quản lý,Nhân viên chính thức,5 - 7 Năm,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",30000000.0,40000000.0,5.0,7.0
"Chuyên Viên Cao Cấp, Chuyên Gia Kiểm Định Mô Hình Kinh Doanh - Senior Business Model Validation Analyst (Bi) - Khối Dữ Liệu (Ho25.96) ",Ngân Hàng Tmcp Quân Đội,Hà Nội,Cạnh Tranh,2025-03-24,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-chuyen-gia-kiem-dinh-mo-hinh-kinh-doanh-senior-business-model-validation-analyst-bi-khoi-du-lieu-ho25-96.35C3A62D.html,2025-04-28,"['Chế độ bảo hiểm', 'Du Lịch', 'Phụ cấp']","Thực hiện thu thập dữ liệu và xây dựng báo cáo kết quả về việc đánh giá mô hình kinh doanh Giám sát công tác xây dựng hệ thống đo lường các chỉ tiêu kiểm định, đánh giá mô hình kinh doanh đã xây dựng Thực hiện cung cấp thông tin đánh giá chất lượng mô hình cùng đơn vị kinh doanh qua triển khai các chương trình thử nghiệm thực tế Triển khai công tác báo cáo theo dõi, đánh giá danh mục sản phẩm ứng dụng mô hình phân tích dữ liệu kinh doanh Phối hợp kinh doanh thực hiện phát triển end-to-end sản phẩm đầu ra từ mô hình dữ liệu kinh doanh lên hệ thống Thực hiện các công việc khác theo phân công của Cán bộ quản lý trực tiếp phù hợp với năng lực và phạm vi công việc.","Cử nhân chuyên ngành kinh tế, tài chính, ngân hàng, khoa học dữ liệu, khoa học máy tính, thống kê, Toán tin... hoặc các chuyên ngành liên quan Tối thiểu 03 năm phân tích dữ liệu trong lĩnh vực ngân hàng, ưu tiên có kinh nghiệm phân tích kinh doanh, quản trị danh mục kinh doanh, triển khai ứng dụng các mô hình dự báo, mô hình học máy, đánh giá chất lượng mô hình Ưu tiên có chứng chỉ hoặc có kinh nghiệm sử dụng thành thạo công cụ truy xuất, biến đổi dữ liệu: SQL, Tableau, Power BI, Oracle, Data Visualization, có kinh nghiệm sử dụng công cụ lập trình: R, Python… Toeic 550 trở lên hoặc chứng chỉ tương đương",Nhân viên,Nhân viên chính thức,3 - 5 Năm,"Bán hàng / Kinh doanh , CNTT - Phần mềm , CNTT - Phần cứng / Mạng",21716056.0,31750014.0,3.0,5.0
Production Controller - Production Planning (Provide Shuttle Bus),Công Ty Tnhh Maker Sixty Four,Long An,Cạnh Tranh,2025-02-27,https://careerviet.vn/vi/tim-viec-lam/production-controller-production-planning-provide-shuttle-bus.35C2CEC2.html,2025-03-26,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","Key responsibilities · Apply Barcode to control and follow the actual daily production process (Manufacturing order & Work order) in production, which generated from Supply Chain Department. · Collect analyze and provide all the necessary Production figures (Barcode, Plan order, material sheets, …) · Control outsource process parts and ensure on-time delivery. · Control WIP, and closely track the progress of each Work center · Driving daily meeting with all relative Supervisors/Managers to solve the issue and provide the tracking plan.","Key skills and experience · Bachelor degree on Business Administration, Technology management industry · 3-5 years of experience in this position, especially Manufacturing environment · Having experiences of using ERP system & Project task · Can use WIP control tools · Good data analysis and report skills · Active to find the root causes and provide the preventative actions · Good communication and teamwork · Can work under the high pressure environment · Basic English skills",Nhân viên,Nhân viên chính thức,1 - 5 Năm,"Sản xuất / Vận hành sản xuất , Đồ gỗ",21716056.0,31750014.0,1.0,5.0
Campaign Management Platform - Msb Df - 1M452,Ngân Hàng Thương Mại Cổ Phần Hàng Hải Việt Nam (Msb),Hà Nội,Cạnh Tranh,2025-03-17,https://careerviet.vn/vi/tim-viec-lam/campaign-management-platform-msb-df-1m452.35C3585F.html,unknown,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","• Receive and evaluate requests from business departments to identify development needs. • Collaborate with development teams and relevant parties to articulate business requirements. • Conduct product testing during UAT and Pilot phases. • Provide consultancy on deploying digital marketing activities based on system features.• Lead the development and execution of comprehensive growth marketing strategies targeting RB, EB, Digital MKT vertical at MSB. • Utilize marketing automation solutions for optimization across digital and social channels. • Develop strategies to increase user engagement, reduce churn, ensure positive ROI, and enhance overall customer experience. • Plan and design growth-hack initiatives based on extensive research and collaboration. • Implement customer segmentation strategies for personalized communication. • Utilize data analytics to optimize promotional programs. • Conduct market research and competitive analysis. • Collaborate with business teams to provide user insights. • Develop KPIs, track performance metrics, and report progress to senior management. • Collaborate with other units to achieve business targets. • Implement and evaluate A/B tests and experiments. • Facilitate daily stand-ups, iteration planning, and sprint reviews.","Minimum 2 years of experience in Business Analysis, Digital Marketing, or equivalent roles. • Proficiency in deploying, integrating, or utilizing platforms such as Campaign Management Platform (CMP), Content Management System (CMS), Customer Data Platform (CDP), etc. • Knowledgeable about advertising platforms, digital marketing channels. • Familiarity with web/app analytics tools (e.g., Google Analytics, Google Tag Manager, Appsflyer, Adjust), and digital channels. • Deep understanding of Martech and Customer Data Platform fields. • Understanding of banking products and business strategies.",Nhân viên,Nhân viên chính thức,Trên 2 Năm,"Tiếp thị / Marketing , Ngân hàng",21716056.0,31750014.0,2.0,5.0
Sqc Engineer,Sps Vietnam,Hồ Chí Minh,Cạnh Tranh,2025-03-25,https://careerviet.vn/vi/tim-viec-lam/sqc-engineer.35C3111C.html,2025-04-23,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","Apply quality principles to software development. Develop test artifacts e.g. test plan, test strategy, test data, test cases, etc. Execute test including function test, system test, performance test, API test, etc. Logs and reports bug. Ensures software applications meets Customers’ requirement. Recommends quality improvements. Communicate status, risks and issues to Team Leader and Project Manager. Ensure assigned tasks to be performed on time and with high quality. Other tasks as assigned by Project Leader and SQC Manager.","College or bachelor's degree in IT/equivalent background/ job related experience. 3 - 4 years’ experience in software testing. Knowledge of Software development. Have experience in creating and implementing test strategies and detailed test plans, test cases/scripts. Have experience in estimating test activities and deliverable. Have basic knowledge about Automation/ Performance/Security Testing and backend APIs. Good at Documentation, Problem solving. Strong curiosity and analytical thinking. English communication. Note: By applying for the job at SPS Vietnam, it is considered that Candidates agree to provide personal data for SPS Vietnam to process in accordance with the Terms and Conditions of personal data processing of candidates which are in line with Decree 13/2023/ND-CP on personal data protection",Nhân viên,Nhân viên chính thức,2 - 3 Năm,CNTT - Phần mềm,21716056.0,31750014.0,2.0,3.0
Test Engineer - Cu Chi (Having Shuttle Bus),Techtronic Industries Vietnam Manufacturing Company Limited,Hồ Chí Minh,Cạnh Tranh,2025-03-20,https://careerviet.vn/vi/tim-viec-lam/test-engineer-cu-chi-having-shuttle-bus.35C38508.html,2025-04-10,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","JOB SUMMARY: Make sure the finish Electronics related product (battery/inverter/robo etc.) is manufactured under a stable production facility, consistent testing data, in order to conform product specification KEY RESPONSIBILITIES AND AUTHORITIES Assist with troubleshooting process for Electronics issues. Prepare troubleshooting work instruction for EEC technician. Set up lab equipment where needed (power supply, E load, battery meter, data logger etc.) Prepare the OQC work instruction of all model for technician. Prepare the OQC Test JIG of all model for technician. Provide technical assistance and operation training for technician. Analyze the non-conformance product on line and during OQC / IPQC inspection. Make sure the OQC technician and the IPQC follow the work instruction through data analysis. Analyze the non-conformance data during IPQC / OQC control. Check the component used in assembly line is matching with BOM. Make sure all quality document is ready before production. Help to collect data in production line for QE purpose. Trouble shooting of any quality problem in production line. Follow up new product building. Follow up mass production product reliability test and analyze the fail sample.","Education: Bachelor's Degree in Electrical, Electronics or Mechatronic engineer Experience: 3-5 years of experience in related roles in electronic manufacturing Knowledge: Able to handle full set of quality control problem Functional Skills: Fluent English in speaking and listening Good communication / presentation skills Familiar with the Quality Tools. Familiar with data tools (Excel, power bi) Familiar with battery test equipment (power supply, E load, data logger etc.) Familiar with different manufacturing process Computer proficient Team player with positive approach",Nhân viên,Nhân viên chính thức,3 - 5 Năm,"Quản lý chất lượng (QA/QC) , Sản xuất / Vận hành sản xuất",21716056.0,31750014.0,3.0,5.0
Category Pricing Executive (Chuyên Viên Kiểm Soát Giá),Công Ty Cổ Phần King Food Market,Hồ Chí Minh,15 Tr - 20 Tr Vnd,2025-03-21,https://careerviet.vn/vi/tim-viec-lam/category-pricing-executive-chuyen-vien-kiem-soat-gia.35C38620.html,2025-04-30,"['Chế độ bảo hiểm', 'Đào tạo', 'Nghỉ phép năm']","Job Summary: We are looking for a detail-oriented and proactive Category Pricing Executive to join our dynamic team within the grocery retail sector. In this role, you will be responsible for supporting the development, implementation, and monitoring of pricing strategies to ensure competitive pricing, profitability, and consistency across our product range. You will work closely with cross-functional teams and help maintain a robust pricing system that aligns with market trends and business objectives. Key Responsibilities: Pricing Data Management : Support the management of pricing data across all grocery product categories, ensuring accuracy and consistency in pricing records and systems. Price Monitoring : Assist in monitoring and reviewing pricing across different stores and online platforms. Ensure prices are updated according to agreed pricing structures, seasonal promotions, and market trends. Competitive Analysis : Assist in gathering competitor pricing data through regular market research, evaluating the competitive landscape to identify pricing opportunities and risks. Promotions & Discounts : Support the implementation of promotional pricing, discounts, and special offers. Ensure that these are correctly applied in the system and on store shelves in alignment with the pricing strategy. Price Adjustments & Updates : Assist in implementing and tracking regular price adjustments in response to cost changes, competitor activity, or market conditions, ensuring timely updates to product prices. Reporting & Documentation : Prepare regular reports on pricing performance, including pricing trends, competitive positioning, and sales impacts. Provide insights and recommendations based on data analysis to help optimize pricing strategies. System Support : Assist with the maintenance and updating of pricing systems, ensuring smooth integration with other retail management systems (e.g., inventory, sales tracking) and accurate pricing execution. Price Compliance : Help monitor and ensure compliance with internal pricing policies, legal regulations, and company guidelines. Assist in identifying and addressing pricing discrepancies or errors. Collaboration : Work closely with category managers, procurement, sales, and finance teams to support pricing decisions, promotions, and cost structures that align with business objectives.","Bachelor’s degree in Business, Economics, Marketing, or a related field. At least 2 years of experience in pricing control, retail pricing, or a related analytical role. Experience in the grocery retail or FMCG (Fast-Moving Consumer Goods. Strong analytical skills with a good understanding of pricing strategy and market dynamics. Proficient in Microsoft Excel and other data analysis tools (e.g., Power BI, Tableau). Detail-oriented with a high degree of accuracy in managing and updating pricing data. Proactive attitude with a focus on problem-solving and improving processes.",Nhân viên,Nhân viên chính thức,2 - 3 Năm,"Bán lẻ / Bán sỉ , Thực phẩm & Đồ uống , Tài chính / Đầu tư",15000000.0,20000000.0,2.0,3.0
