Job Title,Company,Location,Salary,Date,Job Link,Expire Date,Welfare,Job Description,Job Requirements,Job Level,Job Type,Experience,Industry
Design Database Librarian,"Rochdale Spears Co., Ltd.",Bình Dương,Cạnh tranh,25-06-2025,https://careerviet.vn/vi/tim-viec-lam/design-database-librarian.35C4A9F4.html,11-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Xe đưa đón']","1. DESIGN DATABASE IMPLEMENTATION Develop and maintain a comprehensive database repository for all design-related data, ensuring accuracy, organization, and accessibility. Implement best practices for data organization, storage, and security to safeguard sensitive design information to relevant parties. Train and support team member on how to effectively use the database and find the information they need quickly. 2. DATA MAINTENANCE Categorizing and tagging design assets in the database to ensure easy search and retrieval based on an understanding of design styles/materials/product categories. Work closely with merchandising/product development/sales to understand and have the latest status of designs. Regular data clean-ups/reviews ensure to maintenance of only accurate and relevant data 3. PRODUCT LIFE CYCLE ANALYSIS Activity and status reports on designs. Identification of outliers and semi regular product lifecycle reviews Identifying and reporting the gaps within the libraries","A bachelor’s degree in Business Administration, Supply Chain or related Computer skill and/or software: Microsoft Office, MS SharePoint, Databases and Excel English level: Proficient Experience with Product Information Management Systems or Database Management Strong analytical skills with ability to use data and set logical workflows to gather and verify data",Nhân viên,Nhân viên chính thức,Chưa có,"Hành chính / Thư ký , Nội ngoại thất"
Warehouse Executive (Bonded Warehouse),CÔNG TY TNHH EMERS VIETNAM,Hồ Chí Minh,Cạnh tranh,25-06-2025,https://careerviet.vn/vi/tim-viec-lam/warehouse-executive-bonded-warehouse.35C4A9ED.html,10-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Phụ cấp']","1. Order management (50%) Receive orders from the Sales team and then submit DO(s) to Warehouse (located in Malaysia). Closely follow up on orders to ensure timely delivery to customers without delays. Coordinate with related parties (Warehouse, Transportation services, etc.) to resolve any order-related issues. Track sample/consignment orders and ensure full return of goods. 2. Warehouse (50%) Daily update, follow up and check inbound/outbound process in the warehouse report/system. Visit and stocktake goods at warehouse quarterly and annually Prepare weekly and monthly reports as assigned by the team leader. Work closely with the team leader to identify bottlenecks, analyze and improve procedures, especially regarding cost efficiency and the productivity of forwarders, shipping agencies, and customs brokers. Perform other tasks as assigned.","At least 2 years of experience in logistics/warehouse/supply chain management. Experienced in bonded warehouse is plus Experience in warehouse systems management Detail-oriented and careful; high integrity and strong team spirit. Self-disciplined, dynamic, open-minded, willing to learn and accept feedback. Strong sense of responsibility and customer orientation. Proactive in tracking shipments and sales orders. Good command of English (4 skills) and computer skills, especially Excel. Good at data solving, microsoft office, VBA is advance.",Nhân viên,Nhân viên chính thức,Trên 3 Năm,"Bán lẻ / Bán sỉ , Vận chuyển / Giao nhận / Kho vận"
Group Software & Analytics Manager,Wall Street English,Hồ Chí Minh,Cạnh tranh,21-06-2025,https://careerviet.vn/vi/tim-viec-lam/group-software-analytics-manager.35C3FE5C.html,20-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","1. Software environment management Oversee the full lifecycle of software applications used across the Group, from selection to implementation and support. Develop and maintain a roadmap for software evolution aligned with business objectives. Ensure business applications are scalable, cost-effective, integrated where necessary, and well-documented. Lead vendor assessments, selection, and management for software platforms. Drive the development and maintenance of comprehensive documentation for all software configurations, customizations, and integrations to ensure continuity, scalability, and ease of future enhancements. 2. Data & Insights Leadership Build and maintain a high-performing analytics environment using tools like Superset, Power BI, Tableau, or similar. Define data architecture needs and ensure alignment with business requirements and privacy regulations. Provide strategic oversight on the design, scalability, and maintenance of the Group's data infrastructure. Collaborate with internal data engineers or external IT teams to ensure robust data pipelines, storage, and access frameworks. Establish and enforce best practices in data quality, governance, security, and visualization. Partner with business units to define KPIs and develop dashboards to track operational and strategic performance. 3. Business User Support & Enablement Lead a team that provides support and training to business users on software tools managed by the department. Create documentation, SOPs, and onboarding materials for supported systems. Serve as the escalation point for software-related user support issues. Foster a data-literate and tech-enabled culture across the organization. 4. Department Leadership & Collaboration Manage and mentor a team of software analysts and data professionals. Collaborate with other departments (including IT) to ensure software and data systems are compatible with infrastructure standards. Report on software and analytics performance to the COO and executive leadership. Manage and mentor a team of software analysts, business system specialists, and data professionals. Collaborate with other departments (including IT) to ensure software and data systems are compatible with infrastructure standards. Ensure smooth collaboration with the IT Network, Infrastructure and Security department on cross-functional data infrastructure projects. Report on software and analytics performance to the COO and executive leadership.","Strategic thinker with a hands-on approach to problem solving. Deep familiarity with business application ecosystems (e.g., ERP, CRM, LMS). Strong technical understanding of modern data architecture, ETL pipelines, APIs, and database technologies. Experience designing and managing analytics systems (e.g., Power BI, Tableau). Knowledge of data governance, GDPR, and related compliance standards. Effective collaboration with infrastructure and cybersecurity stakeholders. Strong vendor management and stakeholder communication skills. Excellent written and verbal communication in English.",Trưởng nhóm / Giám sát,Nhân viên chính thức,10 - 12 Năm,"Giáo dục / Đào tạo , CNTT - Phần mềm , CNTT - Phần cứng / Mạng"
Retail Merchandiser,Công ty TNHH Một Thành Viên Thương mại Thời trang Tổng hợp,Hồ Chí Minh,Cạnh tranh,23-06-2025,https://careerviet.vn/vi/tim-viec-lam/retail-merchandiser.35C4B43C.html,25-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","To assist the Product Buying team in managing merchandise, supporting the achievement of sales and profit goals, and ensuring effecti­ve stock allocation and product information accuracy across various departments. 1. Merchandise Management: Assist in managing the merchandise mix to optimize sales and profitability within the department store and fashion business. Support the Buyer in achieving business objectives for sales, gross profit (GP), sell-through rates, and stock management at division, sub-category, and SKU levels. 2. Product Data and Allocation: Ensure accurate and up-to-date product master data. Allocate stock to stores based on the assortment plan, ensuring products are allocated to the right stores at the right time. 3. Cross-functions Coordination and Support: Coordinate with Operations, Marketing, and E-commerce teams to provide and manage product information. Assist with ad hoc tasks as assigned by the Buyer and line manager. 4. Additional Duties: Perform other tasks as assigned by the Buyer or line manager.",Prior experience in a merchandise or retail support role is preferred. Proficient in data management such as Microsoft Excel and inventory systems. VBA is a plus Effective at managing stock allocation and supporting merchandise planning. Good communication skills for coordinating with various departments. Strong attention to detail in managing product data and stock allocation,Nhân viên,Nhân viên chính thức,2 - 5 Năm,"Bán lẻ / Bán sỉ , Xuất nhập khẩu , Dệt may / Da giày / Thời trang"
119481 - Databricks Engineer Staff - IT,"RGF HR Agent Vietnam Co., LTD",Hồ Chí Minh,25 Tr - 50 Tr VND,26-06-2025,https://careerviet.vn/vi/tim-viec-lam/119481-databricks-engineer-staff-it.35C47B65.html,25-07-2025,"['Chế độ bảo hiểm', 'Du Lịch', 'Chế độ thưởng']","- Work Location: District 01, HCMC There are 3 positions that you can apply: 1. Infra Engineer, 2. Data Scientist, 3. Data Developer =========================== 1. Infra Engineer What you do: You set up and manage the environment where the team works with data. Think of it like preparing a clean and safe kitchen before cooking. You make sure everything runs smoothly and securely on Databricks. Main tasks: - Set up Databricks and manage user access - Monitor systems to make sure data processing doesn’t stop - Connect Databricks with cloud services like AWS or Azure - Automate and improve the environment for better performance Internal infrastructure Role: You will also be responsible for maintaining the internal infrastructure environment and managing security within us. =========================== 2. Data Scientist What you do: You use data to find useful insights and make predictions. It’s like solving puzzles using numbers. You help the business make better decisions by analyzing data with tools like Databricks. Main tasks: - Analyze data to find trends and patterns - Build machine learning models to make predictions - Share results using charts and reports - Clean and prepare data before analysis =========================== 3. Data Developer What you do: You collect data from different places and prepare it so others can use it easily. It’s like getting ingredients ready before cooking. You make sure the data is clean, organized, and updated. Main tasks: - Build systems to automatically collect and process data - Clean and format data for analysis - Schedule regular updates for data pipelines - Provide ready-to-use data to other teams","<Necessary Skill / Experience> ・Education: Bachelor’s Degree in Computer Science or related field ・Language: English - Business Level (Equivalent to over TOEIC 800) ・Experience: • Hands-on experience in at least one of the following domains o Data Warehousing (SQL, OLAP/OLTP/DSS) o Cloud Infrastructure (AWS, Azure) • Comprehensive understanding of end-to-end data analytics workflows. • Exceptional task and time management abilities. • Interested in adapting to Japanese business culture. <Preferable Skill / Experience> • Databricks certification (Databricks Certified Associate / Professional). • Experience in managing multiple concurrent projects. • Japanese language proficiency at a business level or higher. NOTICE: Only shortlisted candidates will be approached by RGF's consultant. Your resumes will be recorded in our system, and you will receive our Job Introduction Auto-email with suitable jobs in the coming time. Please check your email regularly to get our vacant job. Thanks so much!",Nhân viên,Nhân viên chính thức,1 - 5 Năm,CNTT - Phần mềm
Chuyên Viên Phân Tích Dữ Liệu Ngành Hàng - up 22M,THỜI TRANG LINING_CÔNG TY TNHH QUỐC TẾ HẢI LONG,Hà Nội,20 Tr - 22 Tr VND,23-06-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu-nganh-hang-up-22m.35C4A247.html,19-07-2025,"['Chế độ bảo hiểm', 'Du Lịch', 'Phụ cấp']","1. Xây dựng hệ thống dữ liệu nền tảng: Thiết kế và quản lý khung cơ sở dữ liệu sản phẩm của các nhãn hàng (gồm mã hàng, nhóm hàng, mùa vụ, dòng sản phẩm, phân khúc, tồn kho, định mức tồn...). Tạo và duy trì mẫu bảng biểu quản trị dữ liệu phục vụ công tác phân tích bán hàng, đặt hàng, quy hoạch danh mục sản phẩm. Chuẩn hóa các trường dữ liệu phục vụ mua – bán – quản trị tồn kho, làm nền tảng cho hệ thống ERP hoặc báo cáo BI sau này. 2. Báo cáo & trực quan hóa dữ liệu: Thiết kế và duy trì các báo cáo phân tích định kỳ (tuần/tháng/quý/năm) theo kênh bán hàng, nhóm hàng, cửa hàng, nhân sự. Phân tích so sánh với: cùng kỳ năm trước, kế hoạch năm, target đã giao. 3. Hỗ trợ vận hành chương trình kinh doanh & khuyến mãi Tổng hợp dữ liệu bán hàng – tồn kho – hàng bán chậm để đề xuất sản phẩm đưa vào chương trình khuyến mãi (CTKM). Phân tích hiệu quả của các CTKM sau khi kết thúc, báo cáo lại cho Trưởng phòng KD & BGĐ. 4. Dự báo & tham mưu điều hành: Tổng hợp dữ liệu mua – bán – tồn để đưa ra khuyến nghị kế hoạch doanh số, doanh thu theo chu kỳ. Phối hợp ngành hàng để hỗ trợ dự báo bán hàng ngắn hạn và trung hạn theo mùa vụ. Theo dõi dữ liệu mua – bán – tồn theo từng hãng/nhãn/sản phẩm, cảnh báo sớm các bất thường (out of trend, giảm sâu, tồn đọng lớn). Báo cáo cho TPKD/BGĐ ngay khi phát hiện bất nhất dữ liệu hoặc chênh lệch bất thường giữa kế hoạch và thực tế. 5/ Địa chỉ làm việc : Trụ sở khối VP 31 Lê Văn Lương, Thanh Xuân, Hà Nội ho 6/ Thời gian: 8h-17h (Nghỉ chiều Thứ 7 và Chủ Nhật) QUYỀN LỢI - Mức lương cứng cố định/tháng: 20-22M - Thương kinh doanh theo kết quả nhãn hàng. - Nghỉ phép 12 ngày/năm, nghỉ Lễ theo quy định của Luật lao động. - Tham gia BHXH, BHYT, và hưởng đầy đủ các chế độ theo quy định của nhà nước. - Được hưởng các chế độ phúc lợi theo quy định của Công ty: Sinh nhật, ốm đau, hiếu hỉ, - Tham gia các hoạt động văn hoá tinh thần tại công ty: Party, sinh nhật toàn công ty theo quý, teambuilding định kỳ, thể dục thể thao, du lịch,… - Không gian làm việc thoải mái; cung cấp trang thiết bị làm việc hiện đại. - Được làm việc trong một trường năng động, có cơ hội thể hiện năng lực bản thân và cơ hội thăng tiến. Phúc lợi - Cung cấp đầy đủ trang thiết bị làm việc. - Chế độ đầy đủ theo quy định công ty. - Chính sách ưu đãi theo chế độ CBNV khi mua sắm các sản phẩm công ty.","- Từ 4 năm kinh nghiệm phân tích quản trị số liệu/ merchandise/ điều phối hàng hóa/ sales admin trong ngành FMCG/ Hóa mỹ phẩm - Thành thạo excel và các công cụ phân tích dữ liệu lớn, tối ưu: - Excel nâng cao (Pivot Table, conditional formatting, dashboard mini) - Power BI / Google Data Studio (báo cáo động theo thời gian/kênh) - Tư duy kinh doanh, nhanh nhẹn.",Nhân viên,Nhân viên chính thức,3 - 5 Năm,"Bán hàng / Kinh doanh , Kế toán / Kiểm toán , Dệt may / Da giày / Thời trang"
[HCM] Payment & Incentive Analyst,Ahamove,Hồ Chí Minh,Cạnh tranh,27-06-2025,https://careerviet.vn/vi/tim-viec-lam/hcm-payment-incentive-analyst.35C47D4C.html,26-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Phụ cấp']","Analyze partner performance data to design and optimize incentive programs aligned with business objectives. Build and maintain incentive structures (weekly/monthly/seasonal) tailored to different operational needs and behavioral segments. Track and evaluate program effectiveness: cost-efficiency, ROI, participation rate, and behavioral impact. Use SQL to extract, process, and validate datasets for calculating accurate bonus payouts and identifying anomalies. Coordinate with cross-functional teams (Operations, Finance, Data, Tech) to ensure seamless policy execution and timely payouts. Build dashboards and reporting tools to monitor key metrics, provide actionable insights, and identify improvement opportunities.","Minimum 2 years of experience in operations, incentive planning, data analytics, or driver/partner programs. Proficient in SQL (mandatory) – capable of writing complex queries to handle large datasets. Strong skills in Excel or Google Sheets (advanced formulas, PivotTables, etc.). Solid analytical thinking with a data-driven mindset; able to translate numbers into decisions. Strong cross-functional collaboration, problem-solving, and communication skills. Detail-oriented, responsible, and proactive in identifying and solving issues.",Nhân viên,Nhân viên chính thức,2 - 3 Năm,"Thương mại điện tử , Vận chuyển / Giao nhận / Kho vận"
Intern Admin for Ha Noi Office,"Trends & Technologies, Inc. Vietnam Co., Ltd",Hà Nội,Cạnh tranh,25-06-2025,https://careerviet.vn/vi/tim-viec-lam/intern-admin-for-ha-noi-office.35C4B7FE.html,Expire date not found,"['Chế độ bảo hiểm', 'Tăng lương', 'Nghỉ phép năm']","Handle day to day administrative task/activities Checking and uploading of documents in a timely manner Perform general administrative duties such as data entry, organisation of files, documents etc. and other coordination duties Organized and Perform ad-hoc job related duties when assigned Improve adminstration efficiency. Maintain reports in excel Working time: Mondays - Fridays (7:45AM - 4:45PM ) & Saturdays (8:30AM- 12:00PM)","Can receive & process data accurately and quickly Management and organization skills, attention to details and manage time effectively Submission of an English CV is required",Sinh viên/ Thực tập sinh,Thực tập,Not available,Mới tốt nghiệp / Thực tập
Intern Admin for Ha Noi Office,"Trends & Technologies, Inc. Vietnam Co., Ltd",Hà Nội,Cạnh tranh,21-06-2025,https://careerviet.vn/vi/tim-viec-lam/intern-admin-for-ha-noi-office.35C48D26.html,Expire date not found,"['Chế độ bảo hiểm', 'Tăng lương', 'Nghỉ phép năm']","Handle day to day administrative task/activities Checking and uploading of documents in a timely manner Perform general administrative duties such as data entry, organisation of files, documents etc. and other coordination duties Organized and Perform ad-hoc job related duties when assigned Improve adminstration efficiency. Maintain reports in excel Working time: Mondays - Fridays (7:45AM - 4:45PM ) & Saturdays (8:30AM- 12:00PM)","Can receive & process data accurately and quickly Management and organization skills, attention to details and manage time effectively Submission of an English CV is required",Sinh viên/ Thực tập sinh,Thực tập,Not available,Mới tốt nghiệp / Thực tập
Intern Admin for Ha Noi Office,"Trends & Technologies, Inc. Vietnam Co., Ltd",Hà Nội,Cạnh tranh,28-06-2025,https://careerviet.vn/vi/tim-viec-lam/intern-admin-for-ha-noi-office.35C4A013.html,Expire date not found,"['Chế độ bảo hiểm', 'Tăng lương', 'Nghỉ phép năm']","Handle day to day administrative task/activities Checking and uploading of documents in a timely manner Perform general administrative duties such as data entry, organisation of files, documents etc. and other coordination duties Organized and Perform ad-hoc job related duties when assigned Improve adminstration efficiency. Maintain reports in excel Working time: Mondays - Fridays (7:45AM - 4:45PM ) & Saturdays (8:30AM- 12:00PM)","Can receive & process data accurately and quickly Management and organization skills, attention to details and manage time effectively Submission of an English CV is required",Sinh viên/ Thực tập sinh,Thực tập,Not available,Mới tốt nghiệp / Thực tập
